0	Adrenal Gland-female	Adrenal Gland-male	Bile Duct-female	Bile Duct-male	Bladder-female	Bladder-male	Blood-female	Blood-male	Bone Marrow-female	Bone Marrow-male	Brain-female	Brain-male	Breast-female	Breast-male	Cervix-female	Colorectal-female	Colorectal-male	Esophagus-female	Esophagus-male	Eye-female	Eye-male	Head and Neck-female	Head and Neck-male	Kidney-female	Kidney-male	Liver-female	Liver-male	Lung-female	Lung-male	Lymph Nodes-female	Lymph Nodes-male	Ovary-female	Pancreas-female	Pancreas-male	Pleura-female	Pleura-male	Prostate-male	Skin-female	Skin-male	Soft Tissue-female	Soft Tissue-male	Stomach-female	Stomach-male	Testis-male	Thymus-female	Thymus-male	Thyroid-female	Thyroid-male	Uterus-female
KLHL15	0.024912663162723798	0.11684988059421522	0.5204073034478313	0.04407859952664255	0.2535296508504817	0.2839839053877869	0.2786499124644004	0.5708139698052049	0.1706469205236951	0.2568846756706921	0.21343019758482115	0.4696933442773806	0.2743648460923617	0.6972877265122279	0.07252872437867319	0.6360760923377373	0.6492137148248134	0.4070639795233291	0.08933965860731954	0.7356281441819225	0.587470569074448	0.2261736229599925	0.17715205529309153	0.10670675813242944	0.3082272159225001	0.1746217598356535	0.2033825501779505	0.3873963432911449	0.15036001246510286	0.18746485421335804	0.3823160606983923	0.09193423717148652	0.3828533019948862	0.5178677308154882	0.5793668662158028	0.27934487636554245	0.3653985741603725	0.3754618293118565	0.3326436347919075	0.012386561573932751	0.09883875140242568	0.2364828621132151	0.2544689749544108	0.23283221309407415	0.3815833747453661	0.17491216217004046	0.5455835486342199	0.4070033589187224	0.3727927473641744
CFL2	0.16294935527307713	0.10820255202902876	0.16249361040661295	0.09959013818630398	0.1863761841362252	0.1418413590633371	0.280168497061382	0.3765654963006986	0.15498393883755565	0.1139154154545714	0.09583706211743476	0.03292171171237397	0.1999523018767662	0.2532746374801032	0.18333001799800966	0.2858495945548045	0.17655788918586116	0.0238866088989668	0.13427495178874796	0.6235567882044442	0.5880498788992878	0.12040348218756593	0.08094389939161847	0.08130676707859429	0.14067190120346934	0.19096587606186824	0.13550207286299407	0.2437633402029087	0.1874829509307254	0.16979720996022246	0.2475491583061355	0.022947084108562048	0.090795618366807	0.21590307075860907	0.3561942541173969	0.07241870221557911	0.4483525013191442	0.2314488080076429	0.12391163346975305	0.09225839300454837	0.2368010389752269	0.13238017695067394	0.20590630567937454	0.31753553963347114	0.05716771460482701	0.04934883352552556	0.3969539246086128	0.4015833071858483	0.24858381447591524
FBXO28	0.5719016497422961	0.5865933706232118	0.35220162438796115	0.6804462340316116	0.3185688779579169	0.2848356387643549	0.3428638608113864	0.3533214006305607	0.23297201493605504	0.40499121819684014	0.2923163011252138	0.041194725291215935	0.2253528672752745	0.5643271916145999	0.015135301906361791	0.613110489925365	0.6569695498306779	0.1829074051243562	0.18784251654595294	0.6503116987401564	0.4767510031096269	0.34427098980037674	0.2039321599805202	0.4144022155008336	0.6644433478482268	0.2390358453666165	0.36339506339978733	0.41079798566431097	0.3220865069846241	0.3378547124570317	0.26634143475651856	0.2631749955847876	0.2613456764902104	0.28764616844691343	0.5423918767254299	0.2849131321229544	0.09834746349598666	0.11227135942251168	0.2556218082429405	0.370371563756836	0.09380996692503298	0.07901878932700461	0.19499356273946195	0.17469773550424025	0.1970050844189011	0.2466082111637241	0.5470061524867736	0.4529706288223226	0.22204423144585997
UHMK1	0.3256534460502034	0.3717269215419857	0.33944006558513146	0.563521583349555	0.20778799975204806	0.29048020219618265	0.4625492252182509	0.5616282848071262	0.3972042283365514	0.4407119775263823	0.21572855167444385	0.37412047905733103	0.2464161567907397	0.501264890859296	0.08008487577250896	0.7799420995875967	0.7920468851392105	0.22712686293168385	0.21306986370169825	0.6710800626297173	0.6160596779549875	0.5313030788181379	0.3045853391459148	0.23687073399244	0.3709058444811261	0.27663461761581765	0.3519707149759527	0.4336658712311421	0.3006355401718292	0.5109399022845031	0.4398652466779191	0.3070417978907613	0.2568240434731696	0.15880315451637614	0.30825894558910466	0.15129927380659206	0.1241021026105972	0.3209119575798792	0.27554050560326043	0.03870024263808314	0.06508548498335674	0.2869957332586208	0.21469814161216308	0.3694903216902449	0.0464847244095529	0.13902692476392564	0.4433856714579159	0.3877221100925352	0.3898930865297734
EXOC5	0.4893677733892117	0.6236094168042202	0.7747614831397022	0.6566363218268082	0.4449490793554714	0.3626270225868758	0.5281306659645143	0.7090453197332349	0.4028920450208289	0.4544390263594601	0.3700212161559445	0.44087605647209205	0.35749992174326145	0.6458099565013794	0.13895241147839493	0.7297109303047926	0.8020435445827371	0.2059242855665512	0.12652815073459028	0.7780473960101977	0.5940467835477071	0.27794887857075645	0.3511665729915189	0.395920734768636	0.5092175486528429	0.2793330052071525	0.3567087816674748	0.3984088239539671	0.25770672944738154	0.4453832255765964	0.6899364610441451	0.14613765619143124	0.4639947646600128	0.6283876819912656	0.16837917641826045	0.09784556797173964	0.29645650436966065	0.3694885830558314	0.3075027878824192	0.16329821753984095	0.06222600646466207	0.19797689495846216	0.32956145729480124	0.3065708534053419	0.622499446848729	0.6352198279597012	0.6534023111242225	0.6215753462465061	0.559979098289375
BRWD3	0.4858749247876686	0.43776740101824063	0.33514187335395096	0.4315962534356836	0.4653929852220246	0.3883457497474905	0.4774619276751603	0.6089051751525634	0.5661751045821181	0.11988043609546832	0.2714662229600556	0.4167111283712105	0.2570786237283578	0.5126977848036556	0.16611211549760402	0.6796491197317303	0.759812895253065	0.3424377660938185	0.1493006026670206	0.7879270995627891	0.5833105638250982	0.30999060377213306	0.21408538182753198	0.17286359842071444	0.4608223594849818	0.4453099576760455	0.3782674827115327	0.5259168249379824	0.418455074023647	0.3962168936068877	0.4075877893688241	0.15993761656403574	0.2904370803034719	0.3591921755522803	0.3842366693566159	0.2317569876721025	0.2865603940840023	0.2655461390212458	0.2554073352269245	0.13942779699404986	0.040997191290881946	0.20286703603494602	0.2128757194046231	0.15105164041594688	0.338822906604558	0.4559569743117834	0.4627944341397417	0.37508594554793256	0.4861368220702447
UBE2W	0.39123868599262346	0.471000961955783	0.2171681154857956	0.36760275365326855	0.36197667606120143	0.3348323215851262	0.55663296833687	0.6412291112089856	0.3929640247718347	0.3559615640612345	0.3497883438745668	0.2492335077653854	0.1295720415179522	0.32536525383433257	0.15303990646003382	0.5774668476793738	0.7397000619650904	0.2562482269065172	0.16863357459112382	0.5340902103703083	0.32837381613949995	0.1754830506722275	0.1546312326252929	0.24449856580468599	0.5111976970530682	0.12579886216570602	0.25281734934943273	0.3891491952993581	0.2899543015961819	0.31671043796949183	0.3920035939136052	0.0004058613622552688	0.32290174154402146	0.4585927686469905	0.5149502765124576	0.05556871191533156	0.13072092528923898	0.3979850575012737	0.26264480219611863	0.20238905997172985	0.21687294386871966	0.27366547923690704	0.13437573015645368	0.04362917299207145	0.23633100595110815	0.16453719486647944	0.5898007740466865	0.5178380547974858	0.4900473369535041
SECISBP2L	0.441846838257484	0.5817452258977105	0.6936229739790707	0.5175829833017742	0.4409875453115031	0.4172918670355801	0.31416302569032795	0.412539917510827	0.5488010059093477	0.31813875330032865	0.22371466385571606	0.33583314201001496	0.40834744502924425	0.586439400788803	0.1334050256799785	0.7046930034533267	0.7309725920170583	0.3061253270373962	0.2239342718015381	0.8743691971405628	0.6665396605459964	0.16885181854215067	0.2643093531053057	0.003349853053187355	0.1896632119252735	0.3118306707063204	0.37748085416078175	0.3667371393470105	0.21652993747946125	0.3083139240058881	0.4175227460577683	0.1717503866723735	0.5180745306839225	0.65354615852133	0.5738175313964599	0.16735834422277251	0.3184780025934301	0.27081880336791336	0.3028166738194196	0.20670245525798306	0.266514006141132	0.4607774170626809	0.43166740419437793	0.41880668000931603	0.1296496356824623	0.04510460911306295	0.526241969074402	0.4987801440901869	0.4913674657194004
DICER1	0.26643685909707376	0.451519715675106	0.7814131117591642	0.31421777530916056	0.5404724798509758	0.3347238393093719	0.5098668266712642	0.5788037330228822	0.32849589073162805	0.21453926037484164	0.2299109304184517	0.4272780303671127	0.4231129690173834	0.3215530102712829	0.18146408128746425	0.7175184347036861	0.8302658234347686	0.2553187451580604	0.06230371765818327	0.8407103573072271	0.6852090654008902	0.20417092969898132	0.29022491227755143	0.2497390619321815	0.4393556139007362	0.2555318561414345	0.4343898082046103	0.5201518980472714	0.3381833132913607	0.40950867262295	0.4976978180354204	0.17714233824732076	0.4905045948395561	0.63312776173338	0.3741446004328472	0.11633399278888218	0.20028971897985676	0.2727704778860833	0.2912595557295338	0.17715719046050854	0.0013521747459426892	0.3438746558989261	0.2541793955416085	0.4802490453807009	0.12177595252673185	0.13618747480066518	0.5695612841464739	0.5222156046164841	0.5663412993981666
CLOCK	0.4793070043044204	0.4842144102736504	0.3548814605080525	0.5694128167162478	0.4667363840894712	0.4587986264839435	0.5629837446918164	0.4902127083701674	0.4264959249955113	0.1835973303690324	0.2754991587948961	0.21998264619286234	0.3046534215085492	0.7964752928188983	0.1566876999534483	0.6631828018610728	0.7975913378976456	0.1659281267214808	0.0163892489058337	0.5690643482351968	0.5712464488226611	0.3427292753601857	0.32160456252384084	0.4972803587650122	0.6811446657159533	0.25691115061481634	0.37086181199415996	0.5053010267377703	0.4407803099800636	0.3636482266306405	0.5381195487286426	0.09628872886486127	0.28738729340897495	0.3825516660734078	0.4222068844893807	0.4383455279271905	0.3774150664797116	0.3958353943000134	0.38946190780132905	0.21144054317297986	0.009361101688183751	0.21416338815950545	0.3267794956809363	0.19364122844284348	0.2607424821018645	0.29418621025242525	0.5336362593958328	0.4713926360345506	0.5674415330126741
AGFG1	0.3424586688816793	0.31454190324160697	0.4278057847484533	0.4620326048317686	0.5346300411707379	0.2667500260597045	0.1963950946973475	0.3295952812627169	0.3308001425026458	0.13188846639689125	0.2200683693993712	0.3121743510740975	0.18797303601531548	0.6832893609863268	0.017724427269234334	0.555305377624756	0.6543760055245406	0.00308500060448365	0.06195683676368706	0.7488718414086072	0.45223301690441	0.22482274753607548	0.2292057616627233	0.29414824237638365	0.3996559407861491	0.23024832182387875	0.3187325471504482	0.2805898375979849	0.2011230563069823	0.2208337316211676	0.4275496600026581	0.19210356720428365	0.26907615008611185	0.2792963219751425	0.19533543408868104	0.00743585561478358	0.3311774846680287	0.12807970512488873	0.13288753936639455	0.08857745868847301	0.21887961476111328	0.002422053491790269	0.01919911199318192	0.14263557867766122	0.4470625334143888	0.2866357405660227	0.3989763606815529	0.4125141941206589	0.3984075295544987
USP31	0.27861070860044496	0.2559476732170297	0.2694312727776817	0.4827646647017461	0.06459574755519253	0.19654998162380652	0.04396083978473002	0.1831013882229602	0.05270983310484322	0.03893777118371474	0.24577940045729865	0.29404299921407223	0.10827816483215838	0.2673842175955298	0.14657148531349573	0.4616310296545098	0.5394106649803694	0.3215285867201003	0.11051585875863223	0.5732864661611063	0.4538578149932613	0.1226651922337755	0.12706038226337735	0.17576783452194886	0.3124306123279836	0.06599906704864454	0.09566699576733333	0.21255436322397206	0.021862709233688927	0.18206305378876425	0.5374522306390752	0.15955337463774402	0.03077711967155317	0.4315616700167968	0.24947620435673135	0.15551834462438566	0.26231771072202065	0.2010938148104276	0.2884606564286954	0.10845863418739607	0.2026154328189032	0.09231019206057922	0.2823079074534898	0.18439230004806656	0.39113701101193504	0.2828586867805292	0.30437188714495617	0.3297389571747069	0.4346435117256737
RAB11FIP2	0.529385973521466	0.6802881620286999	0.025941213232659285	0.7053718644744064	0.544952746684856	0.14511047412137962	0.4957393308370177	0.4895710499285169	0.3432145083089365	0.4185969924211719	0.5536397391129988	0.415927403725586	0.5676000638834474	0.669418960954949	0.22480777849173003	0.5813421179056776	0.7355214305198053	0.003318767489548861	0.006886423465966128	0.8468707177169631	0.6331891211022816	0.4701970261871972	0.4784273863882052	0.3572451881846237	0.4579507453009898	0.4017561787858173	0.4252356349656015	0.5928091365222136	0.5695967649309597	0.4076049333541526	0.6575051191046738	0.1640058032100959	0.5849576667420229	0.6839010722675284	0.5939224033086876	0.4641256273798149	0.4087069650378469	0.4625526918623298	0.4833260222025326	0.419300724228168	0.4442128855163445	0.2346176639205153	0.29229713957011044	0.5019363705576847	0.11516947199734362	0.00947045779492079	0.5222686249414301	0.5313905509350898	0.424413339361564
